类目,作品ID,作品作者,作者粉丝数量,作品标题,点赞量,评论量,收藏量,分享量,作品时长,作品网址,发布时间,是否购物车,封面网址,店铺ID,商品ID,销售额网址,视频源网址,销售额
智能家居,7235980393768406329,无穷小亮的科普日常,25207239,完整演示亮记灭蟑老方制作过程,678640,39391,213706,327507,1分56秒,https://www.douyin.com/video/7235980393768406329,2023/5/23 11:00,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/i56302a8c572d49a8bd2906ef9cada8df?lk3s=138a59ce&x-expires=1776870000&x-signature=XcTYJWH3dB0hFDfTU6Acxbw8td0%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260408232424ADC7440232375E44C23F,41878685,3541723940038810282,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7235980393768406329&video_shop_id=41878685&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000chllq8bc77u35ibdmj1g&line=0&file_id=c42753b687c04e8aab831ade1a1f1c8e&sign=3fd976ad1efc97f7384fa3bc99b1f19c&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,1000-2500万
宠物,7483053612344593699,白开水泡可可,32410,机器人老公说没想到“同行”卷到这地步了#石头G30Space #石头G30Space探索版 #石头扫地机器人,228304,36304,27978,488457,2分1秒,https://www.douyin.com/video/7483053612344593699,2025/3/18 19:27,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/30a153705b8047d6942e5787d85d4ff6?lk3s=138a59ce&x-expires=1776826800&x-signature=NbIht%2BavtSpMz1vgbHUg1tVANHs%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=2026040811074969777D4020E951135DDD,,,,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000cvciahfog65raf7l8420&line=0&file_id=f4f287c6bd2a4acc87cfb5a9e0ac9741&sign=c63d4a7716721e466b841b5b9f8f4cb9&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,
数码家电,7384007232691752218,沃心官方旗舰店科技,24395,#苹果手机 搭配上这款#无尘贴膜舱 瞬间提升好几个档次！更好还原原机色彩！#数码科技 #钢化膜,581371,23830,219736,138065,1分1秒,https://www.douyin.com/video/7384007232691752218,2024/6/24 17:59,有,https://p9-pc-sign.douyinpic.com/obj/tos-cn-i-dy/31fd3b7bf76142eca17dfed0e9269e1d?lk3s=138a59ce&x-expires=1776848400&x-signature=sSA4OZlorIZ5u06vUwH9qxZGNGY%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=2026040817251935E788D6AF6D133440FE,98174217,3619839609321721361,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7384007232691752218&video_shop_id=98174217&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000cpsk6i7og65u6ho20g2g&line=0&file_id=2d097fc2c93747f797b4d08b1c898f59&sign=cab7414b6a3ae31d1186d3bcbe5dcf9a&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,1000-2500万
食品饮料,6943172634070830371,Dey11礼物屋,119232,哇～哪个女生生理期不想收到这样的暖心礼物呀！这也太贴心了！#甜甜的恋爱 #礼物 #惊喜 #情侣 #红糖,538075,18563,114807,66697,13秒,https://www.douyin.com/video/6943172634070830371,2021/3/24 18:55,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-p-0015/a874ed1476354811b23241ab84a1f22c_1616583360?lk3s=138a59ce&x-expires=1776844800&x-signature=9tTvx9OCG2FuGBuPLuuoBgIK37s%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260408163847C09D2DDCC4968B3F29D6,10589494,3447268450735682132,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=6943172634070830371&video_shop_id=10589494&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0300ff40000c1dhlam5de9e0mfdf5h0&line=0&file_id=ea9a51390d31443f8148ce70eb967ac9&sign=ae2bb580a065103e528daae58dd4b0ac&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,1000-2500万
宠物,7585842552580246833,草莓七脉（mò）,954171,草莓提到吃的就怪聪明的～ #zeal风干粮 #超级zeal超级宠你 #zeal#萌宠出道计划 #猫咪,221892,533,2363,10580,50秒,https://www.douyin.com/video/7585842552580246833,2025/12/20 18:01,无,https://p9-pc-sign.douyinpic.com/obj/tos-cn-i-0813c000-ce/oMAflFOQA7J9TDseIOUE0WAuBlEARpWnwACGEc?lk3s=138a59ce&x-expires=1776826800&x-signature=F12Gc2Es7I%2F0C2sv2kS3JFBR9lE%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604081107502694082AB879DCB06D71,,,,https://www.douyin.com/aweme/v1/play/?video_id=v2700fgi0000d5356h7og65kl6keglh0&line=0&file_id=680f79ce6bb2481cbd80a87e7c7bfaff&sign=9b8a28830c5606930fcf9b2b2f702758&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,
美妆,7402209924538748170,陈博（男生变帅版）,117612,男生可以不化妆！出门约会、聚会涂它 再也不用担心脸上瑕疵. #男士素颜霜 #伪素颜 #妆前妆后,525606,8515,218093,144014,16秒,https://www.douyin.com/video/7402209924538748170,2024/8/12 19:15,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813/ocABAri5ndNIfEAAgCDedE5LEc77E6FAAr7Bf1?lk3s=138a59ce&x-expires=1776776400&x-signature=m%2BDJEEH0go7v5ZBy00dBCoOH61g%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604072108518036BD4F322824E02FA1,6765667,3480106876119730448,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7402209924538748170&video_shop_id=6765667&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000cqsutdnog65ls83cf090&line=0&file_id=60554743712d433993739d5fce30424a&sign=9ed58a9a8432e5ffe87faae1e73f2abf&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,1000-2500万
个护家清,7137196963434335503,龙哥说美发优选,527629,你和女神之间就差一款护发精油！,484147,32751,125564,71368,1分5秒,https://www.douyin.com/video/7137196963434335503,2022/8/29 15:29,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-p-0015/19af67815f134d1dbe070c702b7efecf_1661758178?lk3s=138a59ce&x-expires=1776819600&x-signature=5sLw%2B3xiEVg668zUtEEP7eFQvkc%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260408092846B1B903D8CD09A81CADF4,31357463,3522811508797083136,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7137196963434335503&video_shop_id=31357463&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,,1000-2500万
母婴儿童,7094912160945491237,元贸生物,87543,家里有3-18岁孩子的家长，一定要选择这款钙片，奶香味浓浓的，孩子都爱吃！！！,473085,41332,98146,45633,20秒,https://www.douyin.com/video/7094912160945491237,2022/5/7 16:42,有,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/94f3a24a237432b5bef5e4f64df7c8e8~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2090984400&x-signature=hdM9nruyNbXD%2FAhjkT9VYk2Zoo0%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=cover&biz_tag=pcweb_cover&l=20260408135009A42C3FCA193764080457,37874668,3543002622694946214,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7094912160945491237&video_shop_id=37874668&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v02033g10000c9r322bc77u57r599abg&line=0&file_id=1fbf514ba9624fa981e8a6f01e9e34fb&sign=58a4b8fea1265a21713a19fa48ca1f5b&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,1000-2500万
食品饮料,7371512331043458340,原来是妈咪,909452,真的好香好香好香哦 #190大帅哥 #宝妈爱跳舞 #大学生#打工人#主妇日常,467261,12440,75226,370494,45秒,https://www.douyin.com/video/7371512331043458340,2024/5/22 1:53,有,https://p9-pc-sign.douyinpic.com/obj/tos-cn-p-0015/oAIBmTBwJt7NABqP0WeAYV3AiJD7MBUIwgfi93?lk3s=138a59ce&x-expires=1776844800&x-signature=%2F3yGyaA1V1Z%2BziPSkiknyXmmeRY%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260408163849F3A16B9D66DDA95234CA,25017058,3565966960460222426,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7371512331043458340&video_shop_id=25017058&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000cp6dutvog65g7s5la1l0&line=0&file_id=bcd81a1e47a9437eba953a00b42ed2a7&sign=fc485390c25b7d85b9b70cd3f12f41b7&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,1000-2500万
个护家清,6997620463480425759,姗姗姗,73154,卖的香氛 买它真的要靠手速！不信你看看 白桃 葡萄 水蜜桃盐盐冷棉这几个味道闭眼入#居家好物 #香氛,466769,18768,70645,57638,21秒,https://www.douyin.com/video/6997620463480425759,2021/8/18 12:21,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-p-0015/ffb6c11e964c471da94b6d2d2ceaf74d_1629260486?lk3s=138a59ce&x-expires=1776819600&x-signature=u8SzXm45uYdT7FqRzVJkoGI5rEo%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=2026040809284958805CE342DD6F2DD049,88233,3442997311809169940,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=6997620463480425759&video_shop_id=88233&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000c4e8lcjc77ua37174hi0&line=0&file_id=3d082f100bf54653bc9c9aedd7347ed9&sign=0aac7e8e7e2cdadf88f4791ad164f9c3&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL,1000-2500万
