类目,作品ID,作品作者,作者粉丝数量,作品标题,点赞量,评论量,收藏量,分享量,作品时长,作品网址,发布时间,是否购物车,封面网址,店铺ID,商品ID,视频总销量,视频源网址
食品饮料,7615644808879780709,小小荷包蛋,4007,夏天不想要自己身上充满体味汗味的一定要备上这个！#香水 #伪体香 #香氛喷雾 #持久留香 #去味喷雾,126344,1660,39703,10853,23秒,https://www.douyin.com/video/7615644808879780709,2026-3-10 23:11,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-p-0015c000-ce/o4ioJIg02AHxEoPBi5UBSeNCe0wfILUyAkPwIB?lk3s=138a59ce&x-expires=1776776400&x-signature=6TbssQeR0aU%2FSN%2FtNCzcm%2BguJpI%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604072119020B8075EB4A7712E1F095,39978152,3786230962610897042,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7615644808879780709&video_shop_id=39978152&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v1e00fgi0000d6o387vog65pi52j387g&line=0&file_id=17c81f1379b044a696ef99d8ba459733&sign=8cd203a58ec048341341256522138d0c&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
酒类,7615083731199544619,妙妙分享屋,4462,【流苏吻花】春夏新款流苏蝴蝶网纱花朵抓夹气质百搭显发量鲨鱼夹#头饰发饰 #美出高级感 #精致女人必备,70612,1135,38259,12276,1分24秒,https://www.douyin.com/video/7615083731199544619,2026-3-9 10:54,有,https://p3-pc-sign.douyinpic.com/image-cut-tos-priv/f3fcb8b371c0b9bca43288c868dab2ea~tplv-dy-resize-origshort-autoq-75:330.jpeg?lk3s=138a59ce&x-expires=2090930400&x-signature=kB7jVcTYPwA1%2BX%2F8aXnpLn%2BYKPk%3D&from=327834062&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=cover&biz_tag=pcweb_cover&l=20260407220908089C7BDB2D331BE307E3,232026304,3783854896600711320,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7615083731199544619&video_shop_id=232026304&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v03033g10000d6n3ck7og65n9u1o2i90&line=0&file_id=64baeac952044d6596e0f485d36a24b2&sign=c43cd312cee1cbf3d113f77e9ef9cf3f&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
生鲜水果,7614810844304989312,吴艳妮Jennie,5298916,我的生命力，不止一种节拍 #茵缇玛护理液#intima和她的朋友们#和Intima一起过春天#女性生命力,55115,1696,1648,997,1分19秒,https://www.douyin.com/video/7614810844304989312,2026-3-8 19:30,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c001/oAAAAAh0NiOAAeZI84tfCiP1CBW0ipEyPljCFg?lk3s=138a59ce&x-expires=1776780000&x-signature=FxL0YFlHpBPtP%2B0UKQKNQEKaaqc%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407221023F7AFA092FD16AF07E8EF,,,,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000d6mjpsfog65nkuf7ue30&line=0&file_id=6941458c5c2f4cfbb22603b49cff91bc&sign=d9586db9f5ef056eb38d1897e842c71e&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
生鲜水果,7614455194550868849,发财小千,109810,当柜姐遇到（洁癖姐） #洁癖 #柜姐 #推荐 #分享 #彩妆,61334,442,7686,2184,1分9秒,https://www.douyin.com/video/7614455194550868849,2026-3-7 18:15,无,https://p9-pc-sign.douyinpic.com/obj/tos-cn-i-0813c000-ce/oMFI9e6qImpDc1rK6XdGeTe2VPALAAfAA8AmQZ?lk3s=138a59ce&x-expires=1776780000&x-signature=UpK5rpONEnSmu%2FwAM3PUrVAJexY%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407220827B389BC52980607147534,,,,https://www.douyin.com/aweme/v1/play/?video_id=v2700fgi0000d6lvklfog65lf6kbfrj0&line=0&file_id=424304f6b0124b9a9b7af70dc0425b2c&sign=633e011c824e800543254644e8b7fcb3&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
生鲜水果,7614419961360010559,达肤妍官方旗舰店,1965054,启幕｜与TA，赴凉山之约 去凉山 去看索玛花生长的地方，去看太阳照耀的印记  精简修护的答案，不是对抗痕迹—— 是让每一道痕迹，都成为光进来的地方  3月12日 1102 达肤妍携全球品牌代言人 启程四川凉山，赴全新修护之旅#达肤妍  #达肤妍全球品牌代言人  #达肤妍修护之旅  #达肤妍修护之旅彝族篇  #精简修护,76343,5275,4822,6353,15秒,https://www.douyin.com/video/7614419961360010559,2026-3-8 18:18,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/232dd2d06c064b148f784b18b213004d?lk3s=138a59ce&x-expires=1776776400&x-signature=8rqv2Qy0UOTjaM8MVZ0PqcGyn3A%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407214827B3D8AF465D2941DF20D7,,,,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000d6lr09fog65ugj0lf60g&line=0&file_id=02b7550296fd4da6bbfb8590c3c55ebb&sign=2a94df63c5c76300fdde2334e16213f2&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
生鲜水果,7614130991297380083,小鱼游水,4794,痘痘闭口多的真的别错过！巨好用的壬二酸水杨酸组合！#壬二酸 #水杨酸 #痘痘 #闭口 #学生党好物推荐,71597,1420,30779,6568,11秒,https://www.douyin.com/video/7614130991297380083,2026-3-6 21:17,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-0813c001/ooqAayAKiwTCrb7aBIrpap0iEApA86MyvgIAP?lk3s=138a59ce&x-expires=1776776400&x-signature=%2B%2B%2B69r1ci1o%2FwYXEheF19l0ahC4%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407215624B63A0AED8B021F1A7D5C,102310803,3623574860741104945,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7614130991297380083&video_shop_id=102310803&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0300fg10000d6ld4qvog65nbpppekpg&line=0&file_id=1e3d41af3f9d4bcd892c410751033871&sign=41a07cf52a8698456921760ef021cfa9&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
生鲜水果,7614089442302741794,小鱼海棠,18346311,背着老公，伙同闺蜜“离家出走”！#小鱼海棠,479940,3303,103800,25798,4分54秒,https://www.douyin.com/video/7614089442302741794,2026-3-7 16:00,有,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/33a1aec353ac457c9dfdcbda31cb30c8?lk3s=138a59ce&x-expires=1776776400&x-signature=cSDOtf4ojysJnY1tjr10yIbldw0%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604072108535AAF814D5B2112F0778B,2063532,3506047239640449211,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7614089442302741794&video_shop_id=2063532&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000d6lao2nog65i299aan60&line=0&file_id=7d000055c3e54cb185a2d32d1f807935&sign=9b5c025b0c1a9199b7157785a8de2835&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
生鲜水果,7614020544207277318,温峥嵘,3777914,从工作到度假，始终在线的好气色，清透不假面全靠它 #小奥汀水精华粉底棒 #新年妆一妆,107102,2939,8711,1127,2分44秒,https://www.douyin.com/video/7614020544207277318,2026-3-6 18:30,无,https://p3-pc-sign.douyinpic.com/obj/tos-cn-i-dy/da7c1fb9ddca410ea850dfe8364055aa?lk3s=138a59ce&x-expires=1776776400&x-signature=0m4O3wAFf%2FgOb%2Fi%2F9T5zkATAjCc%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407213519E6C9548A1C5297CED87F,,,,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000d6l6tcfog65rl2g82d7g&line=0&file_id=762184ac5f2d4ba39cb3f32884844880&sign=eeb975cc0848efb984b79b8518780a47&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
生鲜水果,7613368533632666278,蝶诗舞设计穿戴甲,297475,🍬 梦幻夏日多巴胺  太温柔啦～ #渐变美甲 #多巴胺美甲 #夏日美甲 #糖果色美甲 #蝶诗舞设计穿戴甲,186814,1537,120365,96194,5秒,https://www.douyin.com/video/7613368533632666278,2026-3-4 19:58,无,https://p9-pc-sign.douyinpic.com/obj/tos-cn-i-0813c001/oYDDAEvA5QPqXFHAnNefF08KrlAsC9gTQpIBAA?lk3s=138a59ce&x-expires=1776776400&x-signature=VAtOoCt7bZjgMhBhHgRGYuKgq1I%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=202604072113202AC0A9611C79EEB43927,,,,https://www.douyin.com/aweme/v1/play/?video_id=v0d00fg10000d6k1rvnog65hlc82vfh0&line=0&file_id=6f76b3eb7b024a63ac1481eaae9398c7&sign=2411fbbdf30be9d2129521370ac51127&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
生鲜水果,7613271952739847478,秦苒,10496488,全世界都觉得你高冷，只有我知道你有多温柔 #爱敬小奶砖粉膏#爱敬粉膏#爱敬依克多因粉膏,95213,469,4323,1305,4分47秒,https://www.douyin.com/video/7613271952739847478,2026-3-4 18:00,有,https://p9-pc-sign.douyinpic.com/obj/tos-cn-i-dy/dd07bcf08ba2442abccff0961a6d7b8a?lk3s=138a59ce&x-expires=1776776400&x-signature=R%2F65q0AycDHZBo4rrEuQxj0lhr8%3D&from=327834062_large&s=PackSourceEnum_AWEME_DETAIL&se=false&sc=dynamic_cover&biz_tag=pcweb_cover&l=20260407213859576D5E48D9A778EC9CFD,235598453,3798682667571085401,https://compass.jinritemai.com/shop/chance/rank-video/detail?video_id=7613271952739847478&video_shop_id=235598453&source=shipinxiaoliangbang&prepages%5B0%5D=%2Fshop%2Fchance%2Frank-video&from_page=%2Fshop%2Fchance%2Fvideo-rank&btm_ppre=a6187.b916250.c0.d0&btm_pre=a6187.b282694.c0.d0&btm_show_id=5e56fa53-b131-4142-a45a-3bc2543e688e,https://www.douyin.com/aweme/v1/play/?video_id=v0200fg10000d6jsauvog65gvtjmc2h0&line=0&file_id=a5eb2a8c78794f53b2d840c40ce83e70&sign=53608920fe0cbbdac62d7ad7b51c66f9&is_play_url=1&source=PackSourceEnum_AWEME_DETAIL
